SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
317,Interviewing,"Interviewing involves oral questioning of respondents, either individually or as a group. This is a face-to-face or personal interview method and requires a person, the interviewer, asking questions to the other person, the respondent. ",ቃለ መጠይቕ,ቃለ መጠይቕ ንውለቀ ሰባት ወይ ድማ ንጉጅለ ምግባር ,,,,
318,Intradermal (ID),Within or between the layers of the skin. The vaccine is injected into the top layers of the skin. ,ብቆርበት ዝወሃብ,ኣብ ውሽጢ ወይ ድማ መንጎ ቆርበት:: ኣብ ላእላዋይ ነፀላ ቆርበት ዝወሃብ ክትባት::  ,,,,
319,Intramuscular (IM),"Within the muscle. The vaccine is injected into the muscle, usually of the arm or the buttock.",ብጭዋዳ ዝወሃብ,ኣብ ውሽጢ ጭዋዳ:: ንኣብነት ኣብ ጭዋዳ ዝወሃብ ክታበት ,,,,
320,Intravenous (IV),Within the vein. Infusion of liquid substances directly into a vein.,ብደም ሱር ዝወሃብ,ብደም ሱር ዝወሃብ  መድሓኒት ,,,,
321,Iris,The iris is the coloured part of your eye around the pupil. ,ኣይሪስ ,ፀላም ጋል ዓይኒ ,,,,
322,Ischium,"The ischium is the thick lower part of the pelvis, formed from two fused bones, one on either side. ",ኢስኬም ,ብክልትኡ ጎኒ መቀመጫና  ዝርከብ ዓፅሚ,,,,
323,Isolation,The complete separation from others of a person with a contagious or infectious disease. It is important to isolate people with highly severe and easily transmitted diseases. ,ምፍላይ,ኣዝዩ ዝመሓላለፍ ሕማም ዘለዎ ሰብ ካብ ካልኦት ጥዑያት ሰባት ምፍላይ ,,,,
324,ITNs,"Insecticide Treated Nets are mosquito nets impregnated with insecticide that repel, disable or kills mosquitoes coming into contact with it.",ፀረ ጣንጡ ዛንዚራ,ጣንጡ ዘዳኽምን ዝቐትልን ኬሚካል ዝተሓከመ ዛንዚራ ወይ ኣጎበር ,,,,
325,IUCD or IUD,"Intrauterine contraceptive device (IUCD) or an intrauterine device (IUD). It is an effective, safe, long-acting, cost-effective contraceptive method. It consists of a plastic or metal object that a specially trained health worker or midwife places inside the womb. ",ኣብ ዉሽጢ ማሀፀን ዝቕመጥ ናይ ወሊድ መከላኸሊ,ብዝሰልጠነ በዓል ሞያ ዝወሃብ ንነዊሕ ግዜ ዘገልግል ኣብ ዉሽጢ ማሀፀን ዝቕመጥ ናይ ወሊድ መከላኸሊ,,,,
326,Jadelle,Jadelle is a progesterone-only contraceptive implant consisting of two rods implanted (instead of 6 rods in Norplant) to give effective protection for five years.,ጃዴል,ብዝሰልጠነ በዓል ሞያ ዝወሃብ ክሳብ ሓሙሽተ ዓመት ዘገልግል ኣብ ውሽጢ/ትሕቲ ቆርበት ዝቕመጥ ናይ ወሊድ መከላኸሊ,,,,
327,Jaundice,"A yellow colour of the eyes and skin. It is a sign of disease in the liver, gallbladder, pancreas or blood. ",ምብጫው/ጃውንዲስ,ብምኽንያት ሕማም ፀላም ከብዲ ፣ ሓሞት ከረጢትን  ዝመፅእ ናይ ዓይኒን ቆርበትን ናብ ቢጫ ሕብሪ ክቕይር እንከሎ::,,,,
328,Justice," Justice is a complex ethical principle and it entails fairness, equality and impartiality; in other words, it is the obligation to be fair to all people. ",ፍትሒ,ፍትሓውነት ኮይኑ ኣፋላለይ ዘይምግባርን ንሰባት ብማዕረ ምርኣይን የጠቃልል ,,,,
329,KMC,"Kangaroo Mother Care (KMC), called after the way that kangaroos look after their young, has been shown to be an extremely effective method of caring for preterm and low birth weight babies. It involves holding a newborn in skin-to-skin contact, day and night, prone and upright on the chest.",ኣተሓቃቁፋ ካንጋሮ,ካብ ዕድሚኦም ቀዲሞም ዝተወለዱን ክውለዱ ከለዉ ክብደቶም ትሑት ዝኾኑ ህፃናት እኹል ሙቐት ንክረኽቡ ዝግበር ናይ ቆርበት ንቆርቦት ኣተሓቃቅፋ እዩ::,,,,
330,Knowledge,"The collection and storage of information and experience. Good quality health education relies on the provision of correct, credible, simple and understandable facts and information. Providing knowledge is about helping someone who has a problem, in the case of your job a health problem, so you will have to be aware of the possible health problems, their consequences and ways of preventing them. ",ፍልጠት,ፍልጠትን ተመኩሮን  ምእካብን ምጥቃምን የጠቃልል:: ፅሬቱ ዝሓለወ ኣስተምህሮ ጥዕና ንመሃብ ጭቡጥ መረዳእታ መሰረት ዝገበረ ክኸውን ይግባእ:: ፍልጠት ምክፋል ፀገም ዘለዎ ሰብ ንምሕጋዝ ይጠቅም::,,,,
331,Kwashiorkor,"Severe form of acute malnutrition characterised by swollen feet, hands and face, and peeling sores. It is caused by not eating enough protein.",ኩዋሽኮር,ብሕበጥ ሰብነት ዝግለፅ ሕፅረት ፕሮቲን ዝሓዘ ምግቢ ምምጋብ ዝመፅእ ሕማም,,,,
332,Lactation,"The production of colostrum and then milk by the breasts, and the release of these nutritious fluids when the baby suckles the mother's nipple.",ምጥባው,ሓንቲ ኣዶ ክተጥቡ ትኽእለሉ ኩነታት/ግዜን እቲ ቆልዓ ክጦቢ ኮሎን ምግቢ ክረክብ ከሎን ,,,,
333,Larviciding,The use of chemicals or biological agents or toxins to kill mosquito larvae. Water collections that cannot be managed by environmental control measures can be dealt with by larvicides. ,ምቅታል/ምጥፋእ ላርቫ,መርዛም ኬሚካላት ተጠቒምካ ላርቫታት ምቅታል/ምጥፋእ ,,,,
334,Lateral,"Away from the midline (sides, edges).",ጎናዊ,ካብ ማእኸል  ናብ የማን/ፀጋም ዘበለ/ዝወፀ,,,,
335,Leachate,"In landfill sites and some community waste disposal sites, the solid waste decomposition process will produce leachate. Leachate is formed when the liquid fraction from a mixed solid waste is separated by gravity from the solid component. ",ዝለሓኸ ነገር,ጎሓፍ ኣብ ቆልቃላ ቦታ ክቅመጥ ከሎን ፋሳሲ ዝኾነ ክፋል ክፍለ ወይ ድማ ሊሒኹ ክእከብ ከሎ ,,,,
336,Leading,"Leading is the management function that you will use when influencing, motivating and directing people in your team towards the achievement of your organisational goals. All teams benefit from direction and as a leader you must deal with and motivate the people you work with in your health teams. ",ምምራሕ/ ኣመራርሓ,ሓይሊ ሰብ አነቓቒሕካን አርኣያ ኮይንካን ናብ ዝተሓሰበ ሽቶ ክብፃሕ ምኽኣል,,,,
337,Leishmaniasis,"A chronic parasitic disease, which exists in two forms: visceral leishmaniasis (also known as kala-azar), which affects the internal organs such as the liver and spleen, and cutaneous leishmaniasis, which affects the skin. ",ለይሽማንያ ወይ ድማ ካላዛር,ብፅግዕተኛ ተሃዋስን ዝመፅእ ቆርበትን ዉሽታዊ ካላትን ዝጎድእ ሕማም ልሽማንያ ወይ ድማ ካላዛር,,,,
338,Length,"Extent in time, duration. E.g. For women in labor, length refers to the amount of time each contraction lasts. Measure the time on your watch (if you have one). ",ንውሓት,ሓደ ኩነታት ዝተኸናወነሉ ንውሓት ግዜ,,,,
339,Lens,The lens of the eye is a clear flexible structure that is located just behind the iris and the pupil. The lens focuses the light as it passes through the eye onto the retina at the back of the eye. ,ሌንስ,ኣብ ዓይኒ ውሽጢ ዝርከብ ብርሃን ተስተኻኺሉ ክአቱ ዝገብር ሌንስ ,,,,
340,Licit,"Legal, lawful. Licit substances: those which are not regulated or prohibited.",ሕጋዊ,ብሕጊ ዘይተኸልከለ ወይ ድማ ብሕጊ ዝተፈቅደ,,,,
341,Liquor,The medical term for the amniotic fluid; if the fetal membranes have ruptured.,ፈሳሲ ወይ ድማ ሽንቲ ቆልዓ ,ሽንቲ ቆልዓ ወይ ድማ ኣብ ጊዜ ወሊድ ቀዲሙ ካብ ማህፀን ዝወእ ፈሳሲ ,,,,
342,LLINs,Long-lasting insecticidal nets. LLINs are nets treated in the factory with an insecticide incorporated into the net fabric which makes the insecticide last at least 20 washes in standard laboratory testing and three years of recommended use under field conditions. With LLINs therefore the time consuming method of retreating old nets is no longer necessary.,ዛንዜራ ,ተሓፂቡ ውን ንነዊሕ ግዜ ጣንጡ ዘዳኽምን ዝቐትልን ኬሚካል ዝተሓከመ ወይ ድማ ዝተነኽረ ዛንዚራ ወይውን ኣጎበር,,,,
343,LNMP,First day of the woman's Last Normal Menstrual Period (LNMP). It is used to calculated the expected date of delivery. ,ሓንቲ Õል ኣንስተይቲ ንመጨለሻ ግዜ ፅግያ ዝረአየትሉ መዓልቲ,ሓንቲ Õል ኣንስተይቲ ንመጨለሻ ግዜ ፅግያ ዝረአየትሉ መዓልቲ,,,,
344,Lobbying,"In health promotion, one of the advocacy tools you will use is lobbying, which means influencing the policy process by working closely with key individuals in political and governmental structures, together with other decision makers at local level. ",ናይ ምእማን ስራሕቲ ,ጥዕና ሕብረተሰብ ንምብልፃግ ተባሂሉ ዝግበር ናየ ፖሊሲ ለውጢ ንምምጻእ ዝግበር ናይ ምልዓዓልን ምእማንን ስርሒቲ ንመራሕቲ ፖለቲካ ,,,,
345,Lochia,The liquid discharge from the uterus that appears after childbirth. ,ድሕሪ ወሊድ ካብ ማህፀን ዝወፅእ ፈሳሲ,ድሕሪ ወሊድ ካብ ማህፀን ዝወፅእ ፈሳሲ,,,,
346,Louse-infested,"When body lice are found, for example in clothes, the articles are said to be louse-infested. ",ብቑማል ዝተወረረ,ብቑማል ዝተወረረ ኣካል/ክዳን,,,,
347,LRIs,Lower respiratory tract infections (LRIs) are the leading cause of pneumonia and bronchitis. ,ታሕተዋይ መተንፈሲ ኣካል ረኽሲ ከጋጥም ከሎ,ታሕተዋይ መተንፈሲ ኣካል ረኽሲ ከጋጥም ከሎ,,,,
348,LTBI,Latent tuberculosis infection (LTBI). Up to one-third of the world's population is thought to be infected with latent TB. A person with latent TB does not develop active TB or become ill at the time. LTBI is not contagious.,ምልክት ዘየርአየ ረኽሲ ዓባይ ሰዓል ወይ ሕማም ተቢ,ምልክት ዘየርኢ ረኽሲ ዓባይ ሰዓል ሕማም ተቢ,,,,
349,Lymphocytes,The most important group of white blood cells in our defence against infection. There are several types of lymphocytes. E.g. Lymphocytes called B cells are responsible for producing special proteins called antibodies.,ልምፎሳይትስ,ናይ ፃዕዳ ደም ሴል ክፍሊ ኮይኖም ሕማም ዝከላኸሉ ሕዋሳት,,,,
350,Macules,Skin lesions which are flat.,ሕብጠት ዘይብሉ ናይ ቆርበት ፀገም ወይ ድማ ሽግር,ሕብጠት ዘይብሉ ናይ ቆርበት ሽግር,,,,
351,Malaria,An infection of the blood that causes chills and high fever. Malaria is spread by mosquitos. The mosquito sucks up the malaria parasites in the blood of an infected person and injects them into the next person it bites. ,ዓሶ,ብፕሮቶዝዋ ዝመፅእ ብጣንጡ ዝመሓላለፍ ምልክቱ ረስኒን ቁሪ ቁሪ ምባል ዝኾነ ሕማም,,,,
352,Malnutrition,Health problems caused by not eating enough of the foods that the body needs. ,ወህዲ ምግቢ,ሰብነትና ዘድልዮ ዓይነትን መጠንን ብዘይምርካብ ዝመፅእ:: ናይ ሕብረተሰብ ጥዕና ንምሕላው ክእለት ምሕደራ ደቂ ሰባት ብጣዕሚ ኣገዳሲ እዩ ,,,,
353,Malpresentation,Malpresentation is any presentation other than vertex (the top of the baby's skull is the presenting part). The most common malpresentations are breech.,ቆልዓ ክውለድ ከሎ ብዘይተደለየ ኣካሉ ኣብ ወሊድ ግዘ ክመፅእ ከሎ,ቆልዓ ክውለድ ከሎ ብዘይተደለየ ኣካሉ ኣብ ወሊድ ግዘ ክመፅእ ከሎ ንኣብነት ብመቀመጫኡ ክመፅእ ከሎ,,,,
354,Management," Management is quite simply getting things done through people. As a Health Extension Practitioner at community level, your job will involve management because it will help you achieve your intended goals. Using management techniques will help show you how to make changes to improve the health of everyone in your community. ",ምምሕዳር ወይ ምሕደራ ,ምሕደራ ማልት ስራሕ ብሳባት ንኽስራሕ ዝግበር ፃዕረ እዩ ,,,,
355,Mania,"A form of severe mental illness in which a person is excessively happy or irritable (experiences extreme mood swings), and appears over-active.",ማንያ ወይ ድማ ሕማም ስነ ኣእምሮ ,ናይ ኣእምሮ ህማም ኮይኑ ደቂ ሰባት ኣዝዩ ናይ ደስታን ሓዘንን ምልክታት ከርእዩ ከለዉ ,,,,
356,Marasmic-Kwashiorkor,"
A mixed form of both marasmus and kwashiorkor. It is characterized by the presence of both wasting and bilateral pitting oedema. ",ብሰንኪ ሕፅረት ዝተመጣጠነ  ምግቢ ሕበጥ እግሪ ዝተሓወሶ የመና ቅጥነት/ምምንማን እንተጋጥም ,ኣብ ህፃናት ዝርአ  ብሕፅረት ሓይሊ ወሃብትን ፕሮቲንን ዝሓዙ ምግብታት  ዝመፅእ ካብ መጠን ንላዕሊ ቅጥነትን ሕበጥ ክልቲኡ እግሪን,,,,
357,Marasmus,"A form of severe malnutrition. A child has marasmus if he is very thin, has reduced subcutaneous fat, and looks like skin and bones. Some children are thin but do not have visible severe wasting. ",የመና ቅጥነት/ምምንማን,ኣብ ህፃናት ዝርአ ብሕፅረት ሓይሊ ውሃብቲ ምግቢታት   ዝመፅእ ካብ መጠን ንላዕሊ ቅጥነት/ምምንማን ሰውነት,,,,
358,Mastitis,"Painful inflammation of the breast due to bacterial infection; usually in the first weeks or months of nursing a baby. It causes part of the breast to become hot, red, and swollen.",ረኽሲ ጡብ ኣደ ,ብባክቴርያ ዝመፅእ ረኽሲ ጡብ ኣደ,,,,
359,Mastoiditis,"A deep infection in the mastoid bone. The mastoid bone, which sits behind the ear, consists of air spaces that help drain the middle ear. ",ረኽሲ ድሕሪ እዝኒ ዝርከብ ዓፅሚ,ረኽሲ ድሕሪ እዝኒ ዝርከብ ዓፅሚ,,,,
360,MDA,Community-directed mass drug administration (MDA)., ማሕበረ ሰብ ማእኸል ዝገበረ መደሓኒት መሃብ, ማሕበረ ሰብ ማእኸል ዝገበረ መደሓኒት መሃብ,,,,
361,MDR-TB,"Throughout the world, there are almost 30,000 cases of multidrug resistant-TB (MDR-TB), a form of TB that does not respond to the standard treatments using the drugs most commonly used against TB.",መድሓኒት ዝተላመደ ዓባይ ሰዓል ወይ ሕማም ተቢ ,መድሓኒት ዝተላመደ ዓባይ ሰዓል ወይ ሕማም ተቢ ,,,,
362,Mean,"The average of a series of measurements or scores. To calculate the mean, you add up all the individual measurements or scores and then divide this by how many numbers there are. ",ማእኸላይ ውፂኢት ,ማእኸላይ ውፂኢት::  ማእኸላይ ውፂኢት ንምርካብ ኩሎም ውፂአት ዓቀናት ደሚርካ ንበዝሒ እቶም ዝተወስዱ ዓቀናት ምክፋል እዩ ,,,,
363,Measles,"Measles is a highly transmissible infectious disease caused by the measles virus. Most cases occur in children aged between six months and two years.Initial signs and symptoms typically include fever, often greater than 40 °C, cough, runny nose, and red eyes.Two or three days after the start of symptoms small white spots may form inside the mouth. A red flat rash typically begins three to five days after the first symptoms. ",ንፍዮ,ኣዝዩ ተመሓላላፊ፣ሓያል ረስኒ ሰዓልን ምቕያሕ ዓኒን ዝምልክቱ ብዙሕ ጊዜ ዕድሚኦም ካብ 6ተ ወርኢ ክሳብ 2ተ ዓመት ኣብ ዝኾኖም ህፃናት ዝርአ ሕማም እዩ ,,,,
364,Meconium,The baby's first stool (greenish-black in colour). ,ፅሕፃሕ ቆልዓ ,ናይ መጀመርያ ቆፃል ፅሕፃሕ ሕንጦ ,,,,
365,Medial,Towards the midline of the body.,ማእኸላዊ,ንሰብነትና ማእኸላዊ ክፍሊ ዝቐረበ,,,,
366,Median,"A measure of central location, where half of the measures are below and the other half are above this value. ",ኣብ ማእኸል ዝርከብ ዓቀን,ኣብ ማእኸል ዝርከብ ዓቀን,,,,
367,Menses,Menstruation. Monthly bleeding in women.,ወርሓዊ ፅጊያ ኣደ , ኣብ ደቂ ኣንስቲዮ በብወርሑ ዝርአ ምፍሳስ ደም,,,,
368,Menopause,"The time when a woman naturally stops having monthly bleeding, usually between the ages of 40 and 50.",ማረጥ ወይ ድማ ኣደ ናይ አዴታታ ክተርፋ ከሎ ,ዕድሚአን  ካብ 40-50 ዝኮና ድታት ዝኽሰት ጠጠው ምባል ወርሓዊ መድመይቲ ወይ ድማ ናይ ኣዴታታ ጠጠው ክብል ከሎ ,,,,
369,Message,"A piece of information that contains a combination of ideas, facts, opinions, feelings or attitudes. A message is something that is considered important for the audience to know or do. ",መልእኽቲ,መልእኽቲ ማለት ንሰማዕቲ ዘገድስ ሓበሬታ ማልት እዩ ,,,,
370,Metabolism,The process by which food is built up into living material or used to supply energy in a living organism. ,ሜታቦሊዝም,ዝተወሰደ ምግቢ ናብ ሓይሊ ወይ ሰውነት ንምህናፅ ዝቕየረሉ መንገዲ ወይ ድማ ስርዓት ማልት እዩ ,,,,
371,Micro-organisms,A tiny plant or animal so small it can only be seen with the aid of a microscope. ,ንኡሳት ብዓይኒ ክረአዩ ዘይክእሉ ሂወት ዘለዎም ኣካላት,ንኡሳት ብዓይኒ ክረአዩ ዘይክእሉ ሂወት ዘለዎም ኣካላት,,,,
372,Micro-ponds,"The most common man-made structures in Ethiopia, used to harvest rain water for horticulture and small scale irrigation.",ኩሬ,ንእንስሳትን ኣትክልቲን መስተይ ተሓሲቡ ማይ ዝዓቑረሉ ጉድÕድ ,,,,
373,Microbiology,The science that deals with the study of microorganisms. ,ደቀቅቲ ህይወታውያን ዘፅንዕ ሳይነስ,ፅንዓት ብዛዕባ  ብዓይኒ ክረአዩ ዘይክእሉ ንኡሳት ሂወት ዘለዎም ኣካላት,,,,
374,Microlesions,Minor lesions.,መጠኑ ዝነአሰ ቁስለት,መጠኑ ዝነአሰ ቁስለት,,,,
375,Micronutrients,"As their name indicates ('micro' means small) micronutrients are substances which people need in their diet in only small amounts. These include minerals and vitamins. Although most foods are mixtures of nutrients, many of them contain a lot of one nutrient and a little of the other nutrients.",መይክሮ ኒውትረንት ,ንደቂ ሰባት ብንእሽቶን መጠን ዘድልይዎም ዓይነት ምግብታት ,,,,
376,Migraine,"A severe, throbbing headache, sometimes on one side of the head only. It often causes vomiting. ",መርዘን,ሓያል ሕማም ርእሲ ብዙሕ ጊዜ ንዓቐብ ዘብል,,,,
377,Misbranding,"When any label, writing or other printed or graphic matter on a food container is false or misleading. Misbranding violates food safety regulations and is unlawful. ",ኣብ መዐሸጊ ምግቢ ዝፅሓፍ ሽም  ነቲ ምግቢ ዘይገልፆ ሽም እንትኸውን,ኣብ መዐሸጊ ምግቢ ዝፅሓፍ ሽም  ነቲ ምግቢ ዘይገልፆ ሽም እንትኸውን,,,,
378,Miscarriage,"Spontaneous abortion. The death of the developing baby or fetus in the womb, sometimes followed by heavy bleeding with blood clots.",ምጭንጋፍ ጥንሲ , ጥንሲ ዕድሚኡ ከይበፀሐ ብደም መልክዕ ክውፃእ ከሎ ,,,,
379,Minerals,"Simple metals or other things the body needs, such as iron, calcium or iodine. ",ማዕድናት,ንነብስና ኣድላይቲ ዝኮኑ ከም ካልሲም፣ ሓፂን፣ ኣዮዲን ዝበሉ ማዕድናት,,,,
380,MMR,"The maternal mortality ratio (MMR) is defined as the number of maternal deaths in a given year, in a particular area (which can be a whole country, or a region, or a community such as your community), divided by the number of live births in the same year and area. The result is multiplied by 100,000 live births, so that comparisons can be made with other years and other areas.",ሞት አዶታት መዐቀኒ ,ኣብ ዝተወሰነ ቦታ ዘሎ ሞት አዶታት ብ100000 ብሂወት በዝተወለዱ ህፃናት ቁፅሪ ተባዚሑ ዝርከብ ዊፅኢት,,,,
381,Mode,"The most common result (the most frequent value) of a test, survey or experiment. ",ብተደጋጋሚ ዝርአ ውፅኢት መዐቀኒ ,ኣብ ሙከራ ብተደጋጋሚ ዝርአ ውፅኢት ,,,,
382,Model,"A representation, to show the construction or appearance of something. ",መሲሉ ዝስራሕ መምሃሪ መሳርሒ,መሲሉ ዝስራሕ መምሃሪ መሳርሒ,,,,
383,Modifiable,Changeable or controllable.,ክቕየር ወይ ክስተኻኸል ዝኽእል,ክቕየር ወይ ክስተኻኸል ዝኽእል,,,,
384,Monitoring,"A process by which priority data and/or information is routinely collected, analysed, used and disseminated to see progress towards the achievement of planned targets. This helps the managers take timely corrective actions in order to improve performance. ",ክትትል ,ሓደ ስራሕ ብዝተዓቀደሉ መንገዲ ይስራሕ ምህላዉ ምቁፅፃርነ ወይ ምክትታል,,,,
385,Mood,"A people's feeling state that varies depending on the events that happen around them. Sad events such as sickness or the death of a loved one produce a sad mood. Happy events, such as attending a wedding, induce a happy mood. ",ሙድ ወይ ድማ ኣእምራዊ ስምዒት,ብኹነታት ዝቀያየር ኣእምራዊ ስምዒት,,,,
386,Morality,Goodness. Abiding to the rules of right conduct. ,ቅንዕና,ትኽክለኛ ነገር ምግባር ወይ ድማ ምስራሕ,,,,
387,Mortality,Death. ,ሞት,ሞት,,,,
388,Morula,Solid ball of cells after three days of human embryo fertilisation.  ,ሞሩላ ,ናይ Õል ኣንስተይቲ እንቁላሊሕን ናይ ወዲ ተባዕትዮ ዘርእን ተራኺቦም ዝፈጥርዎ ,,,,
389,Moulding,The extent of overlapping of fetal skull bones as the baby's head is forced down the birth canal. It can produce a pointed or flattened shape to the baby’s head when it is born.,ሞውልዲንግ ,ኣብ ወሊድ ግዜ ዝክሰት ምድርራብ  ኣዕፅምቲ መንበስብሰቲ እቲ ሕንጠይ ,,,,
390,Mucus,"A thick, slippery liquid that moistens and protects the linings of the nose, throat, stomach, guts and vagina. ",ሙከስ,ኣብ ኣፍንጫ ፣ጎሮሮ፣ ጨጎራን መዓናጡን ዝልጠፍ ንፋጥ መሳሊ ፈሳሲ,,,,
391,Multigravida,A pregnant woman who has been pregnant two or more times.,ካብ ክልተ ንላዕሊ ዝጠነሰት ኣዶ,ካብ ክልተ ንላዕሊ ዝጠነሰት ኣዶ,,,,
392,Multipara,A woman who has previously given birth to live babies at least twice before now. ,ኣዶ ብዙሓት,ካብ ክልተ ንላዕሊ ዝወለደት ኣዶ,,,,
393,MVA,Manual vacuum aspiration or MVA (Medical abortion): using an instrument like a syringe operated by hand that creates a negative pressure to suck out the contents of the uterus.,ኤም ቪ ኤ,መምጣጢ ወይ ድማ ናይ ውርጃ መሳርሒ,,,,
394,Myometrium,The muscle layer in the wall of the uterus. ,ግድግዳ ማህፀን,ግድግዳ ማህፀን ,,,,
395,Nasal,Of or relating to the nose. ,ኣፍንጫ (ክባቢ ኣፍንጫ),ኣፍንጫ (ክባቢ ኣፍንጫ),,,,
396,Nausea,Stomach distress or upset; feeling like you need to vomit.,ምዕውልዋል,ንዓቐብ ና ምባል ስምዒት,,,,
397,Neonate,Newborn baby from birth to 28 days old.,ሕንጠይ,ካብ ዝውለድ 28 መዓልቲ ዘይመለኦ ህፃን,,,,
398,Nerves,Thin threads or strings that run from the brain to every part of the body and carry messages for feeling and movement.,ነረቪ ,ካብ ኣእምሮን ናብ ኣእምሮን ዘተፈላለዩ መልእኽትታት ዘመሓላልፉ ነርቭታት ,,,,
399,Nodules,Skin lesion.Small rounded mass or lump.,ሕበጥ,ኣብ ቆርበት ዝረአ ሕበጥ,,,,
400,Non-adherence,"Non-adherence is the patient's inability to take their drugs correctly, or attend scheduled clinical visits in the prescribed manner as recommended by their healthcare providers.",ግቡእ ክትትል ዘይምግባር,ብሰብ ሞያ ጥዕና ዝውሃብ ምኽሪ አወሳስዳ መድሓኒት ተግባራዊ ብምግባር ግቡእ ክትትል ዘይምግባር,,,,
401,Non-consumables,"Non-consumables are items of equipment that can be used for years, but may eventually have to be replaced or updated.",ቀዋሚ/ዘይውዳእ ንብረት,ንብዙሕ ግዜ ዘገልግል ንብረት ድሕሪ ጊዜ ግን ክፅገን ወይ ድማ ክትካእ ኣለዎ ,,,,
402,Non-modifiable,"Non-changeable or non-controllable. E.g. Risk factors such as age, sex and inherited genes.",ክቅየር ዘይኽእል ነገር ,ክትቅይሮ ወይ ድማ ክትቆፃፀሮ ዘይትኽእል ነገር ንኣብነት ዕድመ ፆታ ዘረመል  ደቂ ሳባት ,,,,
403,Nonmaleficence,"The concept of nonmaleficence tells you to 'do no harm' either intentionally or unintentionally to your clients, for instance, not abandoning a client who is in need of your service/help.",ዘይጎድእ ነገር ,ብፍላጥ ወይ ብዘይ ፍላጥ ንደቂ ሰባት ዘይሙጉዳእ ንኣብነት ሰባት ሓገዝ እናደለዩ እናሃለዉ ግልጋሎት ክንፈጉ የብሎምን,,,,
404,Noristerat,Noristerat (NET-EN or norethisterone enanthate) is another artificial progestin preparation which resembles the natural female hormone progesterone. It is intended for short term contraceptive use. ,ኖሪሰታራት ,ኖሪስትራት ማለት ተፈጥራዊ ዘይኮነ ሜላ መከላኸሊ ጥንሲ ሆርሞን እዩ፡፡,,,,
405,Normal,"Usual, natural, or average. Something that is normal has nothing wrong with it. ",ንቡር/ስሩዕ,ኩሉ ጊዜ ዘሎ ተፈጥረኣዊ ነገር ብልሽት ወይ ድማ ሽግር ዘይብሉ ነገር,,,,
406,Nucleus,"The largest structure in any cell, which contains most of the DNA in the cell. ",ኒኩለስ/ኣስኳል ,እቲ ዝዓበየ ኣካል ዋህዮ ኮይኑ ዲኤንአ ዝተብሃለ ንጥረ ነገር ዝሕዝ እዩ,,,,
407,Nutrient,An active chemical component in food that plays a specific structural or functional role in the body's activity. ,ኑትሬንት ,ኣብ ምግቢ ዝርካብ ንስውነት ዝጠቅም ውሁድ ወይ ድማ ሕዋስ ማልት እዩ,,,,
408,Nutrition,The process by which organisms take in and use food. ,ስነ መዓዛ,ከይዲ ስርዓት ኣወሳስዳን ኣጠቃቅማ ምግቢንሂይወት ዘለዎም ነገራት,,,,
409,Nutritious ,"Nourishing. Nutritious foods are those that have things the body needs to grow, be healthy and fight off disease.",ዝበልፀገ ትሕዝቶ ዘለዎ ዓይነት ምግቢ ,ብትሕዝቶኡ ዝበልፀገ ዓይነት ምግቢ ኮይኑ ሰውነትና ንኽዓብን ካብ ሕማም ንምክልካልን ዝጠቅም እዩ,,,,
410,Objective,"The intended impact or effect of the work you are doing, or the specific change that you want to see. ",ዕላማ ,ሓደ ነገር ብምስራሕኻ ክትርእዮ እትደሊ ውፂኢት ወይ ድማ ለውጢ ,,,,
411,Observation,An act of noticing or perceiving.,ትዕዝብቲ ,ሓደ ነገር ንምረዳእ እትገብሮ ከይዲ ትዕዝብቲ ,,,,
412,Obstruction ,A condition of being blocked or clogged. An obstructed gut is a medical emergency. ,ምዕጋት ወይ ድማ ምዕፃው ,ኩነታት ምዕጋት ወይ ድማ ምዕፃው ንኣብነት ማዓንጣ ደቂ ሰባት ክዕፆ ወይ ድማ ክሕተም ከሎ ጊዜ ዘይህብ ሃንደበታዊ ሕማም እዩ,,,,
413,Occipito-posterior,This is the most common malposition where the baby's head initially engages normally but then the occiput rotates posteriorly rather than anteriorly. A baby that presents in the occipito-posterior position may encounter more difficulties during delivery. ,ኣብ ጊዜ ወሊድ ዳሕረዋይ ሸኾና ርእሲ ናይተ ዕሸል ንድሕሪት መዳይ ኣብ ጎሎ ክመፅእ ከሎ ,ኣብ ጊዜ ወሊድ ዳሕረዋይ ሸኾና ርእሲ ናይተ ዕሸል ንድሕሪት መዳይ ኣብ ጎሎ ክመፅእ ከሎ ,,,,
414,Occiput,"The point at the back of the fetal skull, which is lying in the anterior position, that is, towards the front of the mother's pelvis, where the two pubic bones are fused together. ", ዳሕረዋይ ሸኾና ርእሲ, ዳሕረዋይ ሸኾና ርእሲ,,,,
415,Oedema,Swelling due to collection of fluid in the tissues.,ምድንባው ወይ ድማ ሕብጠት,ብሰንኪ ምውህላል ፈሳሲ ኣብ ሰውነትና ዝፍጠር ሕብጠት,,,,
416,Ointment ,A salve or lotion to use on the skin.,ዝቅባእ ነገር,ሎሽን ወይ ድማ ካሊእ ነገር ኮይኑ ሰውነትና ንምቅባእ እንጥቀመሉ ነገር ማለት እዩ ,,,,
